index,trip_count,precipi,pressurei,hum,tempi,dewpti,visi,wspdi,latitude,longitude,hour_6,hour_9,hour_12,hour_15,day_0,day_1,day_2,day_3,day_4,day_5,day_6,weekend_day,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,holiday,days_since_first_date,station_id
5/8/15 12:00,8,0,29.91,53.66666667,81.33333333,63,10,8.066666667,41.872293,-87.624091,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,680,2
5/8/15 15:00,6,0.013333333,29.94333333,70.33333333,73.46666667,62.56666667,10,15.73333333,41.872293,-87.624091,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,680,2
5/9/15 6:00,0,0.003333333,30.03,93,56.7,54.7,2.5,12.7,41.872293,-87.624091,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,681,2
5/9/15 9:00,6,0,30.07,85.66666667,54.83333333,50.6,7,10.4,41.872293,-87.624091,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,681,2
5/9/15 12:00,12,0,30.09666667,74.66666667,55.9,47.93333333,8.333333333,9.966666667,41.872293,-87.624091,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,681,2
5/9/15 15:00,20,0,30.08666667,76.33333333,54.03333333,46.6,9.333333333,13.8,41.872293,-87.624091,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,681,2
5/10/15 6:00,0,0.043333333,30.04666667,94.33333333,47.26666667,45.66666667,1.233333333,9.6,41.872293,-87.624091,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,682,2
5/10/15 9:00,2,0,30.05,93,48.9,46.9,2.333333333,9.233333333,41.872293,-87.624091,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,682,2
5/10/15 12:00,1,0,30.01666667,86.33333333,52.36666667,48.3,8,8.866666667,41.872293,-87.624091,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,682,2
5/10/15 15:00,20,0,30.00333333,78.33333333,55.63333333,48.96666667,10,6.9,41.872293,-87.624091,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,682,2
5/11/15 6:00,0,0.003333333,29.88,86.66666667,64.33333333,60.33333333,8.666666667,10.36666667,41.872293,-87.624091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,683,2
5/11/15 9:00,0,0.02,29.83666667,87.33333333,66.66666667,62.86666667,9,11.13333333,41.872293,-87.624091,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,683,2
5/11/15 12:00,4,0,29.8,79.33333333,68.23333333,61.6,10,16.13333333,41.872293,-87.624091,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,683,2
